subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	3	10	N	N	f	1564.46	0	9	24	3	56	i	j	592.5	1	1000	1000	1	0
184	3	11	N	N	f	408.69	0	2	24	9	56	c	n	600.6	1	1000	100	0	0
184	3	12	P	P	d	709.99	1	8	56	4	24	c	j	995.12	1	100	1000	1	0
184	3	13	N	N	f	714.33	0	9	56	3	24	c	j	696.67	1	100	100	1	0
184	3	14	P	P	d	446.56	1	2	56	8	24	i	j	988.05	1	1000	100	1	0
184	3	15	P	P	d	549.59	1	8	24	4	56	i	n	833.35	1	1000	100	0	0
184	3	16	P	P	d	630.4	1	8	56	3	24	c	j	558.65	1	100	1000	0	0
184	3	17	N	N	f	1152.38	0	2	56	7	24	i	n	1346.27	1	100	1000	1	0
184	3	18	P	P	f	535.88	1	8	56	4	24	c	j	1697.8	1	100	100	1	0
184	3	19	N	N	f	636.86	0	2	24	9	56	c	n	1078.7	1	1000	1000	1	0
184	3	20	N	N	f	693.15	0	4	24	9	56	c	n	545.22	1	100	100	0	0
184	3	21	P	P	d	772.2	1	7	24	3	56	i	n	1248.39	1	100	1000	1	0
184	3	22	N	N	f	818.69	0	7	24	4	56	i	j	1111.08	1	1000	100	1	0
184	3	23	P	P	d	668.38	1	7	24	2	56	i	n	705.63	1	1000	1000	1	0
184	3	24	P	P	d	1316.97	1	3	24	7	56	c	n	584.72	1	100	1000	0	0
184	3	25	N	N	f	1149.67	0	7	24	4	56	i	j	1372.16	1	100	100	1	0
184	3	26	N	N	f	968.03	0	2	56	9	24	i	n	720.63	1	100	1000	0	0
184	3	27	N	N	f	717.83	0	7	56	3	24	c	j	851.95	1	1000	100	0	0
184	3	28	P	P	d	547.45	1	4	24	7	56	c	n	593.25	1	1000	1000	1	0
184	3	29	P	P	d	465.32	1	3	24	7	56	c	n	595.8	1	1000	1000	0	0
184	3	30	P	P	d	558.38	1	7	24	2	56	i	n	936.12	1	1000	1000	0	0
184	3	31	N	N	f	1134.7	0	7	24	4	56	i	n	1001.4	0	100	1000	1	0
184	3	32	N	N	f	2172.99	0	8	24	2	56	i	j	853.59	1	100	1000	0	1
184	3	33	N	N	f	741.2	0	9	56	3	24	c	j	1712.56	1	1000	1000	0	0
184	3	34	P	P	d	669.01	1	9	56	2	24	c	j	1212.13	1	1000	1000	1	0
184	3	35	P	P	d	614.41	1	9	56	3	24	c	j	628.75	1	100	100	0	0
184	3	36	P	P	d	479.75	1	4	56	9	24	i	j	1201.43	1	100	100	0	0
184	3	37	P	P	d	584.9	1	3	56	8	24	i	j	851.23	1	1000	1000	0	0
184	3	38	N	N	f	935.83	0	4	56	9	24	i	n	706.52	1	100	100	1	0
184	3	39	P	P	d	1149.12	1	8	24	2	56	i	n	505.58	1	100	100	1	0
184	3	40	N	N	f	731.28	0	9	56	4	24	c	j	1134.42	1	1000	100	1	0
184	3	41	N	N	f	670.78	0	3	56	9	24	i	n	965.86	1	1000	1000	0	0
184	3	42	N	N	f	617.59	0	4	24	9	56	c	n	517.95	1	1000	1000	0	0
184	3	43	N	N	f	740.01	0	2	24	7	56	c	n	663.98	1	100	1000	0	0
184	3	44	P	P	d	863.64	1	3	24	8	56	c	n	638.87	1	1000	100	1	0
184	3	45	N	N	f	731.79	0	4	24	7	56	c	n	663.96	1	100	100	1	0
184	3	46	N	N	f	537.36	0	9	56	2	24	c	j	920.9	1	100	1000	0	0
184	3	47	P	P	d	865.92	1	3	24	9	56	c	n	1157.49	1	100	1000	1	0
184	3	48	P	P	d	531.14	1	9	24	2	56	i	n	966.17	1	100	100	0	0
184	3	49	P	P	d	540.44	1	3	56	8	24	i	j	901.12	1	100	1000	0	0
184	3	50	N	N	f	974.19	0	2	56	7	24	i	n	1296.05	1	1000	1000	1	0
184	3	51	N	N	f	1029.86	0	9	24	3	56	i	j	760.74	1	1000	1000	0	0
184	3	52	N	N	f	511.61	0	8	24	4	56	i	j	985.53	1	1000	100	0	0
184	3	53	P	P	d	953.22	1	3	56	7	24	i	j	1392.65	1	100	1000	1	0
184	3	54	P	P	d	1735.41	1	2	56	7	24	i	j	665.85	1	1000	100	0	0
184	3	55	N	N	f	673.34	0	3	24	8	56	c	n	1184.14	1	1000	100	1	0
184	3	56	N	N	f	821.8	0	9	24	4	56	i	j	653.37	1	100	100	0	0
184	3	57	P	P	f	717.45	1	3	56	8	24	i	n	750.6	0	100	100	1	0
184	3	58	N	N	f	1035.42	0	8	56	4	24	c	j	1379.97	1	1000	1000	1	1
184	3	59	N	N	f	726.99	0	3	56	8	24	i	n	1344.34	1	1000	100	0	0
184	3	60	N	N	f	500.97	0	7	56	2	24	c	j	721.07	1	100	100	0	0
184	3	61	P	P	d	674.92	1	4	24	8	56	c	n	1083.87	1	100	100	1	0
184	3	62	N	N	f	630.32	0	3	56	7	24	i	n	2528.75	1	1000	100	1	0
184	3	63	P	P	d	1422.44	1	4	56	8	24	i	j	1427.57	1	1000	1000	1	0
184	3	64	N	N	f	804.28	0	3	24	7	56	c	n	1809.38	1	100	1000	1	0
184	3	65	N	N	f	1984.42	0	4	56	8	24	i	n	686.44	1	100	100	0	0
184	4	1	N	N	f	1057.97	0	4	56	9	24	i	n	744.49	1	1000	1000	-1	0
184	4	2	N	N	f	479.14	0	3	56	7	24	i	n	998.05	1	100	100	0	0
184	4	3	N	N	f	559.96	0	9	24	4	56	i	j	938.29	1	1000	1000	0	0
184	4	4	P	P	d	753.76	1	2	24	7	56	c	n	494.57	1	100	100	1	0
184	4	5	N	N	f	500.57	0	7	24	4	56	i	j	765.42	1	1000	1000	1	0
184	4	6	N	N	f	1067.97	0	7	24	3	56	i	j	1340.53	1	100	1000	0	0
184	4	7	N	N	f	507.69	0	7	56	2	24	c	j	858.13	1	100	100	0	0
184	4	8	P	P	d	588.38	1	3	56	7	24	i	j	741.79	1	100	1000	1	0
