"subj" "trialCumul" "sr" "exp"
"213" 49 1 "Imburgio first 64"
"213" 50 1 "Imburgio first 64"
"213" 51 1 "Imburgio first 64"
"213" 52 1 "Imburgio first 64"
"213" 53 1 "Imburgio first 64"
"213" 54 1 "Imburgio first 64"
"213" 55 1 "Imburgio first 64"
"213" 56 1 "Imburgio first 64"
"213" 57 1 "Imburgio first 64"
"213" 58 1 "Imburgio first 64"
"213" 59 1 "Imburgio first 64"
"213" 60 1 "Imburgio first 64"
"213" 61 1 "Imburgio first 64"
"213" 62 1 "Imburgio first 64"
"213" 63 1 "Imburgio first 64"
"213" 64 1 "Imburgio first 64"
"211" 2 1 "Imburgio first 64"
"211" 3 0 "Imburgio first 64"
"211" 4 1 "Imburgio first 64"
"211" 5 0 "Imburgio first 64"
"211" 6 1 "Imburgio first 64"
"211" 7 0 "Imburgio first 64"
"211" 8 1 "Imburgio first 64"
"211" 9 0 "Imburgio first 64"
"211" 10 1 "Imburgio first 64"
"211" 11 1 "Imburgio first 64"
"211" 12 1 "Imburgio first 64"
"211" 13 0 "Imburgio first 64"
"211" 14 1 "Imburgio first 64"
"211" 15 0 "Imburgio first 64"
"211" 16 0 "Imburgio first 64"
"211" 17 1 "Imburgio first 64"
"211" 18 0 "Imburgio first 64"
"211" 19 1 "Imburgio first 64"
"211" 20 0 "Imburgio first 64"
"211" 21 0 "Imburgio first 64"
"211" 22 1 "Imburgio first 64"
"211" 23 0 "Imburgio first 64"
"211" 24 1 "Imburgio first 64"
"211" 25 0 "Imburgio first 64"
"211" 26 1 "Imburgio first 64"
"211" 27 0 "Imburgio first 64"
"211" 29 0 "Imburgio first 64"
"211" 30 1 "Imburgio first 64"
"211" 31 0 "Imburgio first 64"
"211" 32 1 "Imburgio first 64"
"211" 33 0 "Imburgio first 64"
"211" 34 1 "Imburgio first 64"
"211" 35 0 "Imburgio first 64"
"211" 36 1 "Imburgio first 64"
"211" 37 0 "Imburgio first 64"
"211" 38 0 "Imburgio first 64"
"211" 39 0 "Imburgio first 64"
"211" 40 1 "Imburgio first 64"
"211" 41 0 "Imburgio first 64"
"211" 42 1 "Imburgio first 64"
"211" 43 1 "Imburgio first 64"
"211" 44 1 "Imburgio first 64"
"211" 45 1 "Imburgio first 64"
"211" 46 1 "Imburgio first 64"
"211" 47 1 "Imburgio first 64"
"211" 48 1 "Imburgio first 64"
"211" 49 1 "Imburgio first 64"
"211" 50 1 "Imburgio first 64"
"211" 51 0 "Imburgio first 64"
"211" 52 0 "Imburgio first 64"
"211" 53 1 "Imburgio first 64"
"211" 54 0 "Imburgio first 64"
"211" 55 1 "Imburgio first 64"
"211" 56 0 "Imburgio first 64"
"211" 57 1 "Imburgio first 64"
"211" 58 0 "Imburgio first 64"
"211" 59 1 "Imburgio first 64"
"211" 60 0 "Imburgio first 64"
"211" 62 1 "Imburgio first 64"
"211" 63 1 "Imburgio first 64"
"211" 64 0 "Imburgio first 64"
"209" 2 1 "Imburgio first 64"
"209" 3 0 "Imburgio first 64"
"209" 4 1 "Imburgio first 64"
"209" 5 0 "Imburgio first 64"
"209" 6 1 "Imburgio first 64"
"209" 7 1 "Imburgio first 64"
"209" 8 1 "Imburgio first 64"
"209" 9 0 "Imburgio first 64"
"209" 10 1 "Imburgio first 64"
"209" 11 0 "Imburgio first 64"
"209" 12 1 "Imburgio first 64"
"209" 13 0 "Imburgio first 64"
"209" 15 0 "Imburgio first 64"
"209" 16 1 "Imburgio first 64"
"209" 17 0 "Imburgio first 64"
"209" 18 1 "Imburgio first 64"
"209" 19 0 "Imburgio first 64"
"209" 20 1 "Imburgio first 64"
"209" 21 0 "Imburgio first 64"
"209" 22 0 "Imburgio first 64"
"209" 25 0 "Imburgio first 64"
"209" 26 1 "Imburgio first 64"
"209" 27 0 "Imburgio first 64"
"209" 28 0 "Imburgio first 64"
"209" 29 1 "Imburgio first 64"
"209" 30 0 "Imburgio first 64"
"209" 31 1 "Imburgio first 64"
"209" 32 0 "Imburgio first 64"
"209" 33 1 "Imburgio first 64"
