"subj" "trialCumul" "sr" "exp"
"17" 22 0 "Frober E1 Vol First 64 trials"
"17" 23 0 "Frober E1 Vol First 64 trials"
"17" 24 0 "Frober E1 Vol First 64 trials"
"17" 25 1 "Frober E1 Vol First 64 trials"
"17" 26 0 "Frober E1 Vol First 64 trials"
"17" 27 0 "Frober E1 Vol First 64 trials"
"17" 28 0 "Frober E1 Vol First 64 trials"
"17" 29 1 "Frober E1 Vol First 64 trials"
"17" 30 0 "Frober E1 Vol First 64 trials"
"17" 31 0 "Frober E1 Vol First 64 trials"
"17" 32 1 "Frober E1 Vol First 64 trials"
"17" 33 0 "Frober E1 Vol First 64 trials"
"17" 34 0 "Frober E1 Vol First 64 trials"
"17" 35 0 "Frober E1 Vol First 64 trials"
"17" 37 1 "Frober E1 Vol First 64 trials"
"17" 38 0 "Frober E1 Vol First 64 trials"
"17" 39 0 "Frober E1 Vol First 64 trials"
"17" 40 0 "Frober E1 Vol First 64 trials"
"17" 41 0 "Frober E1 Vol First 64 trials"
"17" 42 1 "Frober E1 Vol First 64 trials"
"17" 43 0 "Frober E1 Vol First 64 trials"
"17" 44 0 "Frober E1 Vol First 64 trials"
"17" 45 0 "Frober E1 Vol First 64 trials"
"17" 46 1 "Frober E1 Vol First 64 trials"
"17" 47 0 "Frober E1 Vol First 64 trials"
"17" 48 0 "Frober E1 Vol First 64 trials"
"17" 49 0 "Frober E1 Vol First 64 trials"
"17" 50 0 "Frober E1 Vol First 64 trials"
"17" 52 0 "Frober E1 Vol First 64 trials"
"17" 53 1 "Frober E1 Vol First 64 trials"
"17" 54 1 "Frober E1 Vol First 64 trials"
"17" 55 1 "Frober E1 Vol First 64 trials"
"17" 56 1 "Frober E1 Vol First 64 trials"
"17" 57 1 "Frober E1 Vol First 64 trials"
"17" 58 1 "Frober E1 Vol First 64 trials"
"17" 60 0 "Frober E1 Vol First 64 trials"
"17" 61 0 "Frober E1 Vol First 64 trials"
"17" 62 0 "Frober E1 Vol First 64 trials"
"17" 63 1 "Frober E1 Vol First 64 trials"
"17" 64 0 "Frober E1 Vol First 64 trials"
"18" 2 0 "Frober E1 Vol First 64 trials"
"18" 4 0 "Frober E1 Vol First 64 trials"
"18" 5 0 "Frober E1 Vol First 64 trials"
"18" 6 0 "Frober E1 Vol First 64 trials"
"18" 7 1 "Frober E1 Vol First 64 trials"
"18" 8 0 "Frober E1 Vol First 64 trials"
"18" 9 0 "Frober E1 Vol First 64 trials"
"18" 10 0 "Frober E1 Vol First 64 trials"
"18" 11 0 "Frober E1 Vol First 64 trials"
"18" 14 0 "Frober E1 Vol First 64 trials"
"18" 15 0 "Frober E1 Vol First 64 trials"
"18" 16 0 "Frober E1 Vol First 64 trials"
"18" 17 1 "Frober E1 Vol First 64 trials"
"18" 18 0 "Frober E1 Vol First 64 trials"
"18" 19 0 "Frober E1 Vol First 64 trials"
"18" 20 0 "Frober E1 Vol First 64 trials"
"18" 21 0 "Frober E1 Vol First 64 trials"
"18" 23 0 "Frober E1 Vol First 64 trials"
"18" 24 0 "Frober E1 Vol First 64 trials"
"18" 25 0 "Frober E1 Vol First 64 trials"
"18" 26 1 "Frober E1 Vol First 64 trials"
"18" 28 0 "Frober E1 Vol First 64 trials"
"18" 29 0 "Frober E1 Vol First 64 trials"
"18" 32 0 "Frober E1 Vol First 64 trials"
"18" 33 0 "Frober E1 Vol First 64 trials"
"18" 34 0 "Frober E1 Vol First 64 trials"
"18" 36 0 "Frober E1 Vol First 64 trials"
"18" 38 0 "Frober E1 Vol First 64 trials"
"18" 39 0 "Frober E1 Vol First 64 trials"
"18" 40 0 "Frober E1 Vol First 64 trials"
"18" 41 0 "Frober E1 Vol First 64 trials"
"18" 42 0 "Frober E1 Vol First 64 trials"
"18" 43 0 "Frober E1 Vol First 64 trials"
"18" 44 0 "Frober E1 Vol First 64 trials"
"18" 45 0 "Frober E1 Vol First 64 trials"
"18" 46 0 "Frober E1 Vol First 64 trials"
"18" 47 0 "Frober E1 Vol First 64 trials"
"18" 48 0 "Frober E1 Vol First 64 trials"
"18" 49 0 "Frober E1 Vol First 64 trials"
"18" 50 0 "Frober E1 Vol First 64 trials"
"18" 51 0 "Frober E1 Vol First 64 trials"
"18" 52 0 "Frober E1 Vol First 64 trials"
"18" 53 0 "Frober E1 Vol First 64 trials"
"18" 54 0 "Frober E1 Vol First 64 trials"
"18" 55 0 "Frober E1 Vol First 64 trials"
"18" 56 0 "Frober E1 Vol First 64 trials"
"18" 57 0 "Frober E1 Vol First 64 trials"
"18" 59 0 "Frober E1 Vol First 64 trials"
"18" 60 0 "Frober E1 Vol First 64 trials"
"18" 62 1 "Frober E1 Vol First 64 trials"
"18" 63 0 "Frober E1 Vol First 64 trials"
"19" 2 0 "Frober E1 Vol First 64 trials"
"19" 4 0 "Frober E1 Vol First 64 trials"
"19" 5 1 "Frober E1 Vol First 64 trials"
"19" 6 1 "Frober E1 Vol First 64 trials"
"19" 9 0 "Frober E1 Vol First 64 trials"
"19" 10 1 "Frober E1 Vol First 64 trials"
"19" 11 1 "Frober E1 Vol First 64 trials"
"19" 12 1 "Frober E1 Vol First 64 trials"
"19" 13 0 "Frober E1 Vol First 64 trials"
"19" 14 1 "Frober E1 Vol First 64 trials"
"19" 15 0 "Frober E1 Vol First 64 trials"
"19" 16 0 "Frober E1 Vol First 64 trials"
"19" 17 1 "Frober E1 Vol First 64 trials"
"19" 18 1 "Frober E1 Vol First 64 trials"
"19" 19 1 "Frober E1 Vol First 64 trials"
"19" 20 0 "Frober E1 Vol First 64 trials"
"19" 21 0 "Frober E1 Vol First 64 trials"
"19" 22 1 "Frober E1 Vol First 64 trials"
"19" 23 1 "Frober E1 Vol First 64 trials"
"19" 24 1 "Frober E1 Vol First 64 trials"
"19" 25 0 "Frober E1 Vol First 64 trials"
"19" 26 1 "Frober E1 Vol First 64 trials"
"19" 27 0 "Frober E1 Vol First 64 trials"
"19" 29 1 "Frober E1 Vol First 64 trials"
"19" 30 1 "Frober E1 Vol First 64 trials"
"19" 31 0 "Frober E1 Vol First 64 trials"
"19" 32 1 "Frober E1 Vol First 64 trials"
"19" 33 0 "Frober E1 Vol First 64 trials"
"19" 34 1 "Frober E1 Vol First 64 trials"
"19" 35 1 "Frober E1 Vol First 64 trials"
"19" 36 1 "Frober E1 Vol First 64 trials"
"19" 38 1 "Frober E1 Vol First 64 trials"
"19" 39 1 "Frober E1 Vol First 64 trials"
"19" 40 0 "Frober E1 Vol First 64 trials"
"19" 41 1 "Frober E1 Vol First 64 trials"
"19" 42 1 "Frober E1 Vol First 64 trials"
